sym,exchange,inst,ctype,tick,settlepx,lqt
LU2-LZ2,ICE,L,SP,0.005,0.065,2021-04-16D14:29:53.597110644
SR3Z3-GEZ3,CME,SR3,IS,0.5,25.5,2021-04-16D14:35:21.864968061
SR3Z3,CME,SR3,OT,0.5,9926,2021-04-16D14:35:25.246335722
SO3U5,ICE,SO3,OT,0.005,99.135,2021-04-16D14:35:21.838303085
SO3M5,ICE,SO3,OT,0.005,99.18,2021-04-16D14:35:17.253998365
SO3H5,ICE,SO3,OT,0.005,99.22,2021-04-16D14:35:21.839077448
SO3:FBUT:H25+M25+U25,ICE,SO3,BF,0.005,,2021-04-16D14:29:53.636729922
SO3:PACK:M23,ICE,SO3,PK,0.00125,0,2021-04-16D14:35:13.224361630
BTCK1,CME,BTC,OT,5,64305,2021-04-16D14:35:24.641708496
SNAM22,CURVE,SNA,OT,0.005,99.89,2021-04-16D14:33:08.560041014
SNAH22,CURVE,SNA,OT,0.005,99.925,2021-04-16D14:33:26.038194838
SNA+12H-32M+32U-12Z,CURVE,SNA,DF,0.005,,2021-04-16D14:32:58.509800265
SONM22,CURVE,SON,OT,0.005,99.89,2021-04-16D14:35:17.098223802
SONH22,CURVE,SON,OT,0.005,99.925,2021-04-16D14:32:58.594171171
SON+12H-32M+32U-12Z,CURVE,SON,DF,0.005,,2021-04-16D14:35:17.029334132
SO3U2-SO3Z2,ICE,SO3,SP,0.005,0.065,2021-04-16D14:33:52.781305921
SF3H2-SF3M2,ICE,SF3,SP,0.0025,0.035,2021-04-16D14:35:27.375313071
SF3H2,ICE,SF3,OT,0.0025,99.9225,2021-04-16D14:35:12.081921406
SR3H2-SR3M2,CME,SR3,SP,0.5,3.5,2021-04-16D14:35:25.668052233
SO3M2-SO3U2,ICE,SO3,SP,0.005,0.05,2021-04-16D14:33:52.813223476
SONU2,CME,SON,OT,0.25,9985,1970-01-01D00:00:00.000000000
SONM2-SONU2,CME,SON,SP,0.25,5,2021-04-16D14:29:49.527012871
SONM2,CME,SON,OT,0.25,9990,1970-01-01D00:00:00.000000000
SNAM22-SNAU22,CURVE,SNA,SP,0.005,,2021-04-16D14:33:08.560041014
SONM22-SONU22,CURVE,SON,SP,0.005,,2021-04-16D14:35:17.029334132
SONZ2,CME,SON,OT,0.25,9978.5,1970-01-01D00:00:00.000000000
SONU2-SONZ2,CME,SON,SP,0.25,6.5,2021-04-16D14:29:49.549588586
IZ3,ICE,I,OT,0.005,100.39,2021-04-16D14:35:28.142137087
IZ2,ICE,I,OT,0.005,100.515,2021-04-16D14:35:18.446024054
IZ1,ICE,I,OT,0.005,100.545,2021-04-16D14:35:24.366139040
IU3,ICE,I,OT,0.005,100.425,2021-04-16D14:35:18.446187570
IU2,ICE,I,OT,0.005,100.53,2021-04-16D14:35:17.149445389
IU1,ICE,I,OT,0.005,100.54,2021-04-16D14:35:24.366139040
IM4,ICE,I,OT,0.005,100.3,2021-04-16D14:35:23.055561240
IM3,ICE,I,OT,0.005,100.455,2021-04-16D14:35:23.055524962
IM2,ICE,I,OT,0.005,100.535,2021-04-16D14:35:16.035724951
IM1,ICE,I,OT,0.005,100.54,2021-04-16D14:35:24.366139040
IH6,ICE,I,OT,0.005,99.94,2021-04-16D14:35:16.981738475
IH4,ICE,I,OT,0.005,100.345,2021-04-16D14:35:23.054853144
IH3,ICE,I,OT,0.005,100.485,2021-04-16D14:35:24.366139040
IH2,ICE,I,OT,0.005,100.54,2021-04-16D14:34:50.823685239
I:BND5:M21,ICE,I,FB,0.25,,2021-04-16D14:35:16.990282223
SF3Z2,ICE,SF3,OT,0.0025,99.7725,2021-04-16D14:27:47.041723169
SF3H3,ICE,SF3,OT,0.0025,99.67,2021-04-16D14:35:09.076054487
SF3:PACK:M22,ICE,SF3,PK,0.00125,0,2021-04-16D14:35:28.339707262
SF3Z1,ICE,SF3,OT,0.0025,99.9375,2021-04-16D14:00:31.881722736
SF3U1,ICE,SF3,OT,0.0025,99.9525,2021-04-16D14:30:32.681204202
SF3M1,ICE,SF3,OT,0.0025,99.96,2021-04-16D14:35:25.638891050
SF3:PACK:M21,ICE,SF3,PK,0.00125,0,2021-04-16D14:35:12.404823288
YITM21,CME,YIT,OT,25,997325,2021-04-16D14:35:20.687710410
LZ2-LH3,ICE,L,SP,0.005,0.07,2021-04-16D14:29:53.597471754
SR3Z2,CME,SR3,OT,0.5,9977.5,2021-04-16D14:35:25.246335722
SR3H3,CME,SR3,OT,0.5,9967.5,2021-04-16D14:35:25.613091940
SR3:AB 02Y M1,CME,SR3,AB,0.25,9987,2021-04-16D14:35:20.687385364
SR3Z2-SR3H3,CME,SR3,SP,0.5,10,2021-04-16D14:35:12.082763981
SF3U1-SF3Z1,ICE,SF3,SP,0.0025,0.015,2021-04-16D14:00:31.751057658
SR3U1-SR3Z1,CME,SR3,SP,0.5,1,2021-04-16D14:35:19.012844995
SR3H2-GEH2,CME,SR3,IS,0.5,14.5,2021-04-16D14:35:25.671376830
SONZ2-SONH3,CME,SON,SP,0.25,7,2021-04-16D14:29:49.695977114
SONH3,CME,SON,OT,0.25,9971.5,1970-01-01D00:00:00.000000000
SF3M1-SF3U1,ICE,SF3,SP,0.0025,0.0075,2021-04-16D14:00:31.887361645
SR3M1-SR3U1,CME,SR3,SP,0.5,1,2021-04-16D14:35:12.061231403
I:PACK:M24,ICE,I,PK,0.25,,2021-04-16D14:35:24.459823011
SF3Z2-SF3H3,ICE,SF3,SP,0.0025,0.1025,2021-04-16D14:08:50.346074930
STLU23,CURVE,STL,OT,0.005,99.445,2021-04-16D14:35:20.798485966
STL+12Z-33H+33M-13U,CURVE,STL,DF,0.005,,2021-04-16D14:35:20.798325958
STGU23,CURVE,STG,OT,0.005,99.445,2021-04-16D14:35:20.787626264
STG+12Z-33H+33M-13U,CURVE,STG,DF,0.005,,2021-04-16D14:35:12.119341842
LIWM21,CME,LIW,OT,50,978425,2021-04-16D14:35:18.552649729
BTMJ1,ICE,,,,,
SO3H2-SO3M2,ICE,SO3,SP,0.005,0.035,2021-04-16D14:35:19.431033712
SONH2-SONM2,CME,SON,SP,0.25,3.5,2021-04-16D14:29:49.593425374
SONH2,CME,SON,OT,0.25,9993.5,1970-01-01D00:00:00.000000000
SONH22-SONM22,CURVE,SON,SP,0.005,,2021-04-16D14:30:13.254820490
I:FBUT:U24+Z24+H25,ICE,I,BF,0.005,,2021-04-16D14:20:28.444242755
IU4-IZ4,ICE,I,SP,0.005,0.05,2021-04-16D14:13:07.905338022
SR3U2-SR3Z2,CME,SR3,SP,0.5,7,2021-04-16D14:35:19.054962853
SF3U2-SF3Z2,ICE,SF3,SP,0.0025,0.0675,2021-04-16D14:27:07.171227398
IM2-IZ2,ICE,I,SP,0.005,0.02,2021-04-16D14:35:17.054781934
EUIZ22,CURVE,EUI,OT,0.005,100.51,2021-04-16D14:35:19.816551409
EUIM22-EUIZ22,CURVE,EUI,SP,0.005,,2021-04-16D14:32:17.826670880
EUIM22,CURVE,EUI,OT,0.005,100.54,2021-04-16D14:35:15.802105063
SNAH22-SNAM22,CURVE,SNA,SP,0.005,,2021-04-16D14:33:08.560041014
I:BND2:M21,ICE,I,FB,0.25,,2021-04-16D14:29:59.926043990
GE:PK 01Y M3,CME,GE,PK,0.25,0,2021-04-16D14:35:24.230122534
ZQV1,CME,ZQ,OT,0.5,9991,2021-04-16D14:35:25.157945950
SR1V1-ZQV1,CME,SR1,IS,0.5,4.5,2021-04-16D14:34:42.375722713
SR1V1,CME,SR1,OT,0.5,9995.5,2021-04-16D14:34:42.375722713
SF1M1,ICE,SF1,OT,0.0025,99.9625,2021-04-16D14:32:30.090029847
SF1K1-SF1M1,ICE,SF1,SP,0.0025,0.01,2021-04-16D14:01:43.758839679
SF1K1,ICE,SF1,OT,0.0025,99.9725,2021-04-16D14:30:28.903840548
STGZ21,CURVE,STG,OT,0.005,99.89,2021-04-16D14:35:12.363771083
STGU21,CURVE,STG,OT,0.005,99.925,2021-04-16D14:33:01.121551736
STGM22,CURVE,STG,OT,0.005,99.78,2021-04-16D14:35:12.250258485
STGH22,CURVE,STG,OT,0.005,99.81,2021-04-16D14:35:17.112032069
STG+11U-31Z+32H-12M,CURVE,STG,DF,0.005,,2021-04-16D14:35:12.363771083
STLZ21,CURVE,STL,OT,0.005,99.89,2021-04-16D14:35:17.110798624
STLU21,CURVE,STL,OT,0.005,99.925,2021-04-16D14:35:17.110798624
STLM22,CURVE,STL,OT,0.005,99.78,2021-04-16D14:35:17.098223802
STLH22,CURVE,STL,OT,0.005,99.81,2021-04-16D14:35:17.098223802
STL+11U-31Z+32H-12M,CURVE,STL,DF,0.005,,2021-04-16D14:32:21.060524633
I:BND4:M21,ICE,I,FB,0.25,,2021-04-16D14:35:14.910888458
LH2-LM2,ICE,L,SP,0.005,0.035,2021-04-16D14:29:53.596966641
SONU21,CURVE,SON,OT,0.005,99.955,2021-04-16D14:32:21.056535294
SON-STLU21,CURVE,SON,IC,0.001,,2021-04-16D14:32:21.056535294
SNAU21,CURVE,SNA,OT,0.005,99.955,2021-04-16D14:32:20.385353943
SNA-STGU21,CURVE,SNA,IC,0.001,,2021-04-16D14:32:20.385353943
I:PACK:M25,ICE,I,PK,0.25,,2021-04-16D14:35:14.590898594
STLM21,CURVE,STL,OT,0.005,99.92,2021-04-16D14:35:17.110798624
SONM21,CURVE,SON,OT,0.005,99.95,2021-04-16D14:29:53.576053491
SON-STLM21,CURVE,SON,IC,0.001,,2021-04-16D14:29:58.504144700
STGM21,CURVE,STG,OT,0.005,99.92,2021-04-16D14:33:01.121551736
SNAM21,CURVE,SNA,OT,0.005,99.95,2021-04-16D14:29:53.603065136
SNA-STGM21,CURVE,SNA,IC,0.001,,2021-04-16D14:33:01.121551736
STLZ23,CURVE,STL,OT,0.005,99.38,2021-04-16D14:35:20.798325958
STLU24,CURVE,STL,OT,0.005,99.19,2021-04-16D14:35:17.110798624
STLM24,CURVE,STL,OT,0.005,99.25,2021-04-16D14:35:17.110957514
STLH24,CURVE,STL,OT,0.005,99.32,2021-04-16D14:35:20.798485966
STL+13Z-34H+34M-14U,CURVE,STL,DF,0.005,,2021-04-16D14:35:17.110957514
STGZ23,CURVE,STG,OT,0.005,99.38,2021-04-16D14:35:20.787626264
STGU24,CURVE,STG,OT,0.005,99.19,2021-04-16D14:34:08.594602482
STGM24,CURVE,STG,OT,0.005,99.25,2021-04-16D14:33:23.286193289
STGH24,CURVE,STG,OT,0.005,99.32,2021-04-16D14:35:20.787626264
STG+13Z-34H+34M-14U,CURVE,STG,DF,0.005,,2021-04-16D14:35:20.787626264
ZQF2,CME,ZQ,OT,0.5,9990.5,2021-04-16D14:35:16.054323397
SR1F2-ZQF2,CME,SR1,IS,0.5,3.5,2021-04-16D14:34:51.520410346
SNA-STGH23,CURVE,SNA,IC,0.001,,2021-04-16D14:34:09.683645482
SON-STLH23,CURVE,SON,IC,0.001,,2021-04-16D14:34:09.716701626
STLZ22-STLH23,CURVE,STL,SP,0.005,,2021-04-16D14:35:17.110798624
I:FBUT:Z21+M22+Z22,ICE,I,BF,0.005,,2021-04-16D14:20:11.527939971
EUIZ21,CURVE,EUI,OT,0.005,100.545,2021-04-16D14:35:15.802882604
EUI:BF Z21-M22-Z22,CURVE,EUI,BF,0.005,,2021-04-16D14:32:17.826670880
LU4,ICE,L,OT,0.005,99.19,2021-04-16D14:35:21.833689084
LH4-LU4,ICE,L,SP,0.005,0.12,2021-04-16D14:35:14.132789377
STLH24-STLU24,CURVE,STL,SP,0.005,,2021-04-16D14:35:17.110798624
L:FBUT:M22+U22+Z22,ICE,L,BF,0.005,,2021-04-16D14:29:53.600864739
L:FBUT:H22+M22+U22,ICE,L,BF,0.005,,2021-04-16D14:29:53.600790900
STL+12H-32M+32U-12Z,CURVE,STL,DF,0.005,,2021-04-16D14:35:17.098223802
STL+12M-32U+32Z-13H,CURVE,STL,DF,0.005,,2021-04-16D14:35:17.110798624
STG+12M-32U+32Z-13H,CURVE,STG,DF,0.005,,2021-04-16D14:35:16.941568051
I:FBUT:H25+U25+H26,ICE,I,BF,0.005,,2021-04-16D14:19:37.864749858
IU5-IH6,ICE,I,SP,0.005,0.105,2021-04-16D14:02:31.117376065
STGZ24,CURVE,STG,OT,0.005,99.145,2021-04-16D14:35:12.128724204
STG+14H-34M+34U-14Z,CURVE,STG,DF,0.005,,2021-04-16D14:34:09.682413284
STLZ24,CURVE,STL,OT,0.005,99.145,2021-04-16D14:35:17.115861899
STL+14H-34M+34U-14Z,CURVE,STL,DF,0.005,,2021-04-16D14:35:17.110957514
STL+11M-31U+31Z-12H,CURVE,STL,DF,0.005,,2021-04-16D14:32:21.056073932
STG+11M-31U+31Z-12H,CURVE,STG,DF,0.005,,2021-04-16D14:35:12.363771083
LH3-LM3,ICE,L,SP,0.005,0.075,2021-04-16D14:35:14.132583883
SO3Z3-SO3H4,ICE,SO3,SP,0.005,0.065,2021-04-16D14:29:53.634536032
SONZ3-SONH4,CME,SON,SP,0.25,6.5,2021-04-16D14:30:14.420510136
SONZ3,CME,SON,OT,0.25,9949.5,1970-01-01D00:00:00.000000000
SONH4,CME,SON,OT,0.25,9943,1970-01-01D00:00:00.000000000
SO3Z1-SO3H2,ICE,SO3,SP,0.005,0.01,2021-04-16D14:34:38.658807347
SONZ1-SONH2,CME,SON,SP,0.25,1,2021-04-16D14:29:49.699980983
SONZ1,CME,SON,OT,0.25,9994.5,1970-01-01D00:00:00.000000000
I:PACK:M23,ICE,I,PK,0.25,,2021-04-16D14:35:23.055562228
STGH25,CURVE,STG,OT,0.005,99.105,2021-04-16D14:35:12.042827207
SONZ21,CURVE,SON,OT,0.005,99.945,2021-04-16D14:32:58.594171171
SON-STLZ21,CURVE,SON,IC,0.001,,2021-04-16D14:32:21.048421827
SNAZ21,CURVE,SNA,OT,0.005,99.945,2021-04-16D14:32:20.386274759
SNA-STGZ21,CURVE,SNA,IC,0.001,,2021-04-16D14:32:20.386274759
I:BND3:M21,ICE,I,FB,0.25,,2021-04-16D14:35:21.833802290
IH3-IM3,ICE,I,SP,0.005,0.03,2021-04-16D14:34:12.737699499
EUIM23,CURVE,EUI,OT,0.005,100.46,2021-04-16D14:35:19.816551409
EUIH23-EUIM23,CURVE,EUI,SP,0.005,,2021-04-16D14:35:17.107428306
EUIH23,CURVE,EUI,OT,0.005,100.48,2021-04-16D14:35:19.553385878
SO3Z4,ICE,SO3,OT,0.005,99.26,2021-04-16D14:35:23.053301200
SO3:FBUT:Z24+H25+M25,ICE,SO3,BF,0.005,,2021-04-16D14:29:53.636643219
SON-STLH22,CURVE,SON,IC,0.001,,2021-04-16D14:32:21.052850240
SNA-STGH22,CURVE,SNA,IC,0.001,,2021-04-16D14:32:20.390566928
I:FBUT:H24+U24+H25,ICE,I,BF,0.005,,2021-04-16D14:35:22.093265271
IH4-IU4,ICE,I,SP,0.005,0.095,2021-04-16D14:35:22.092415883
LZ4,ICE,L,OT,0.005,99.14,2021-04-16D14:35:27.741328834
SO3U3-SO3Z3,ICE,SO3,SP,0.005,0.07,2021-04-16D14:34:38.666625933
SONU3-SONZ3,CME,SON,SP,0.25,7,2021-04-16D14:29:49.501919218
SONU3,CME,SON,OT,0.25,9956.5,1970-01-01D00:00:00.000000000
SON-STLU22,CURVE,SON,IC,0.001,,2021-04-16D14:35:17.029334132
SNA-STGU22,CURVE,SNA,IC,0.001,,2021-04-16D14:35:16.941568051
L:FBUT:U22+Z22+H23,ICE,L,BF,0.005,,2021-04-16D14:29:53.600950855
LU1-SO3U1,ICE,L,IC,0.005,0.035,2021-04-16D14:29:53.637082537
SR1M1,CME,SR1,OT,0.5,9996,2021-04-16D14:35:20.789392231
SR1K1-SR1M1,CME,SR1,SP,0.5,1,2021-04-16D14:35:12.058026923
SR1K1,CME,SR1,OT,0.5,9997,2021-04-16D14:35:20.789392231
H2OJ1,CME,H2O,OT,100,80000,2021-04-16D14:32:43.599283640
SR3Z1-SR3H2,CME,SR3,SP,0.5,1.5,2021-04-16D14:35:25.668052233
SF3Z1-SF3H2,ICE,SF3,SP,0.0025,0.015,2021-04-16D14:00:31.952817832
GE:PK 01Y M4,CME,GE,PK,0.25,0,2021-04-16D14:35:25.267315527
SR3H3-GEH3,CME,SR3,IS,0.5,18,2021-04-16D14:35:25.613091940
SR1U1,CME,SR1,OT,0.5,9995.5,2021-04-16D14:35:21.054842190
SR1Q1-SR1U1,CME,SR1,SP,0.5,0,2021-04-16D14:34:09.023010988
SR1Q1,CME,SR1,OT,0.5,9995.5,2021-04-16D14:34:09.023010988
SR1J1-SR1K1,CME,SR1,SP,0.25,1.75,2021-04-16D14:30:36.007143472
SF1J1-SF1K1,ICE,SF1,SP,0.0025,0.0125,2021-04-16D14:31:48.126232829
SR3:AB 01Y M2,CME,SR3,AB,0.25,9979.75,2021-04-16D14:35:19.430850773
SO3M1-SO3U1,ICE,SO3,SP,0.005,0,2021-04-16D14:32:40.821126412
SONM21-SONU21,CURVE,SON,SP,0.005,,2021-04-16D14:29:56.633745147
SNAZ23,CURVE,SNA,OT,0.005,99.5,2021-04-16D14:35:20.787626264
SNAU23-SNAZ23,CURVE,SNA,SP,0.005,,2021-04-16D14:35:15.241782304
SNAU23,CURVE,SNA,OT,0.005,99.565,2021-04-16D14:35:21.793311030
SONZ23,CURVE,SON,OT,0.005,99.5,2021-04-16D14:35:17.110798624
SONU23-SONZ23,CURVE,SON,SP,0.005,,2021-04-16D14:35:15.244238716
SONU23,CURVE,SON,OT,0.005,99.565,2021-04-16D14:35:20.798485966
LZ1-SO3Z1,ICE,L,IC,0.005,0.065,2021-04-16D14:35:12.145181778
SO3H3-SO3M3,ICE,SO3,SP,0.005,0.075,2021-04-16D14:29:53.630052334
BTCJ1-BTCK1,CME,BTC,EQ,1,465,2021-04-16D14:34:22.059355605
I:FBUT:M24+Z24+M25,ICE,I,BF,0.005,,2021-04-16D14:19:34.572762124
